x,y,shape
931,1548,Ovalada/Elíptica
734,1548,Esférica/Redonda
731,1548,Esférica/Redonda
390,1546,Ovalada/Elíptica
978,1540,Filamentosa
663,1540,Esférica/Redonda
476,1540,Ovalada/Elíptica
473,1538,Esférica/Redonda
921,1537,Esférica/Redonda
1502,1532,Esférica/Redonda
755,1531,Filamentosa
821,1527,Esférica/Redonda
823,1524,Esférica/Redonda
587,1519,Filamentosa
38,1503,Filamentosa
36,1501,Ovalada/Elíptica
782,1495,Filamentosa
982,1493,Filamentosa
897,1492,Filamentosa
590,1490,Filamentosa
270,1490,Filamentosa
355,1488,Filamentosa
266,1487,Filamentosa
1641,1486,Filamentosa
1379,1485,Esférica/Redonda
351,1485,Filamentosa
1368,1484,Esférica/Redonda
742,1484,Esférica/Redonda
1378,1483,Esférica/Redonda
744,1483,Ovalada/Elíptica
741,1478,Filamentosa
327,1470,Filamentosa
1384,1465,Filamentosa
1381,1465,Esférica/Redonda
1604,1458,Esférica/Redonda
1598,1456,Filamentosa
706,1454,Filamentosa
701,1454,Filamentosa
1435,1452,Ovalada/Elíptica
769,1446,Filamentosa
1330,1445,Filamentosa
1515,1444,Esférica/Redonda
765,1442,Filamentosa
578,1440,Filamentosa
1276,1438,Esférica/Redonda
1179,1438,Esférica/Redonda
401,1436,Esférica/Redonda
1552,1432,Esférica/Redonda
1547,1432,Filamentosa
1162,1420,Esférica/Redonda
867,1420,Filamentosa
127,1419,Esférica/Redonda
861,1418,Filamentosa
1157,1417,Filamentosa
674,1415,Filamentosa
123,1415,Esférica/Redonda
1220,1413,Filamentosa
672,1412,Filamentosa
1138,1411,Filamentosa
1143,1410,Ovalada/Elíptica
1223,1409,Filamentosa
350,1407,Filamentosa
1479,1406,Esférica/Redonda
1483,1402,Esférica/Redonda
796,1402,Esférica/Redonda
795,1400,Ovalada/Elíptica
1257,1399,Filamentosa
657,1396,Filamentosa
1382,1393,Filamentosa
1376,1393,Filamentosa
225,1386,Esférica/Redonda
1203,1383,Filamentosa
1207,1382,Esférica/Redonda
223,1382,Esférica/Redonda
1445,1377,Filamentosa
1143,1377,Esférica/Redonda
1143,1375,Esférica/Redonda
1138,1375,Esférica/Redonda
1139,1373,Esférica/Redonda
790,1373,Esférica/Redonda
1610,1372,Ovalada/Elíptica
1141,1372,Ovalada/Elíptica
1634,1368,Esférica/Redonda
1299,1365,Esférica/Redonda
261,1361,Filamentosa
372,1353,Filamentosa
287,1353,Ovalada/Elíptica
1084,1352,Esférica/Redonda
291,1351,Esférica/Redonda
287,1350,Esférica/Redonda
1223,1339,Filamentosa
315,1336,Filamentosa
314,1336,Esférica/Redonda
1552,1333,Ovalada/Elíptica
1556,1330,Esférica/Redonda
1218,1330,Filamentosa
661,1330,Filamentosa
517,1329,Esférica/Redonda
0,1329,Filamentosa
1106,1326,Filamentosa
171,1326,Esférica/Redonda
1195,1324,Filamentosa
1628,1313,Ovalada/Elíptica
588,1311,Filamentosa
1629,1309,Filamentosa
272,1296,Esférica/Redonda
67,1294,Esférica/Redonda
268,1292,Filamentosa
950,1291,Esférica/Redonda
331,1290,Filamentosa
936,1279,Esférica/Redonda
936,1275,Filamentosa
1426,1269,Ovalada/Elíptica
803,1267,Esférica/Redonda
1427,1266,Ovalada/Elíptica
702,1265,Esférica/Redonda
698,1258,Filamentosa
446,1257,Filamentosa
213,1257,Esférica/Redonda
940,1256,Esférica/Redonda
936,1253,Filamentosa
209,1253,Filamentosa
941,1252,Filamentosa
